iter	Passed	Remaining
873	29320	4226
874	29338	4191
875	29356	4155
876	29377	4120
877	29397	4084
878	29421	4050
879	29441	4014
880	29459	3979
881	29475	3943
882	29492	3907
883	29510	3872
884	29534	3837
885	29555	3802
886	29575	3767
887	29592	3732
888	29610	3697
889	29629	3662
890	29657	3628
891	29676	3593
892	29693	3557
893	29712	3522
894	29736	3488
895	29754	3453
896	29772	3418
897	29794	3384
898	29814	3349
899	29836	3315
900	29851	3280
901	29870	3245
902	29889	3210
903	29908	3176
904	29930	3141
905	29953	3107
906	29972	3073
907	29995	3039
908	30013	3004
909	30032	2970
910	30062	2936
911	30084	2902
912	30108	2869
913	30129	2834
914	30150	2800
915	30176	2767
916	30198	2733
917	30227	2700
918	30248	2666
919	30270	2632
920	30293	2598
921	30313	2564
922	30333	2530
923	30355	2496
924	30382	2463
925	30405	2429
926	30424	2395
927	30444	2362
928	30477	2329
929	30500	2295
930	30530	2262
931	30558	2229
932	30580	2196
933	30612	2163
934	30638	2129
935	30661	2096
936	30689	2063
937	30717	2030
938	30742	1997
939	30764	1963
940	30788	1930
941	30811	1897
942	30834	1863
943	30855	1830
944	30884	1797
945	30908	1764
946	30933	1731
947	30955	1697
948	30975	1664
949	31001	1631
950	31023	1598
951	31049	1565
952	31073	1532
953	31096	1499
954	31119	1466
955	31138	1433
956	31162	1400
957	31184	1367
958	31205	1334
959	31231	1301
960	31253	1268
961	31272	1235
962	31301	1202
963	31319	1169
964	31342	1136
965	31372	1104
966	31396	1071
967	31416	1038
968	31445	1005
969	31464	973
970	31483	940
971	31501	907
972	31520	874
973	31548	842
974	31566	809
975	31586	776
976	31608	744
977	31627	711
978	31650	678
979	31673	646
980	31697	613
981	31724	581
982	31758	549
983	31791	516
984	31812	484
985	31831	451
986	31850	419
987	31878	387
988	31897	354
989	31917	322
990	31943	290
991	31981	257
992	32006	225
993	32028	193
994	32048	161
995	32070	128
996	32092	96
997	32118	64
998	32139	32
999	32158	0
